start-time,end-time,duration,rtt,proto,sip,sp,dip,dp,iflags,uflags,riflags,ruflags,isn,risn,tag,rtag,pkt,oct,rpkt,roct,app,entropy,rentropy,end-reason
2021-09-10 16:16:30.728,2021-09-10 16:16:30.751,0.023,0.023,17,192.168.51.138,56508,192.168.51.205,53,0,0,0,0,00000000,00000000,000,000,2,120,2,324,53,109,149,eof
2021-09-10 16:16:30.888,2021-09-10 16:16:30.888,0.000,0.000,17,192.168.51.205,53295,192.203.230.10,53,0,0,0,0,00000000,00000000,000,000,2,136,0,0,53,95,0,eof
2021-09-10 16:15:09.989,2021-09-10 16:16:30.932,80.943,0.000,17,192.168.60.159,138,192.168.60.255,138,0,0,0,0,00000000,00000000,000,000,76,20919,0,0,138,133,0,eof
2021-09-10 16:15:09.989,2021-09-10 16:16:30.932,80.943,0.000,17,192.168.60.159,138,192.168.60.205,138,0,0,0,0,00000000,00000000,000,000,8,2202,8,2760,138,133,161,eof
2021-09-10 16:16:14.442,2021-09-10 16:16:30.932,16.490,0.000,1,192.168.60.254,0,192.168.60.159,771,0,0,0,0,00000000,00000000,000,000,6,336,0,0,0,0,0,eof
2021-09-10 16:15:30.148,2021-09-10 16:16:31.649,61.501,0.000,2,192.168.60.107,0,224.0.0.251,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:16:31.688,2021-09-10 16:16:31.688,0.000,0.000,17,192.168.51.205,54479,192.33.4.12,53,0,0,0,0,00000000,00000000,000,000,2,136,0,0,53,94,0,eof
2021-09-10 16:15:07.338,2021-09-10 16:16:31.730,84.392,0.000,17,192.168.0.101,12055,192.168.60.5,2055,0,0,0,0,00000000,00000000,000,000,24,18864,0,0,0,109,0,eof
2021-09-10 16:15:07.338,2021-09-10 16:16:31.730,84.392,0.000,1,192.168.60.5,0,192.168.0.101,771,0,0,0,0,00000000,00000000,000,000,24,8880,0,0,0,0,0,eof
2021-09-10 16:15:37.251,2021-09-10 16:16:31.732,54.481,0.000,2,192.168.60.2,0,224.0.0.251,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:15:27.778,2021-09-10 16:16:32.079,64.301,0.000,2,192.168.60.192,0,224.0.0.251,0,0,0,0,0,00000000,00000000,000,000,2,64,0,0,0,0,0,eof
2021-09-10 16:15:27.648,2021-09-10 16:16:32.148,64.500,0.000,2,192.168.60.107,0,224.0.0.252,0,0,0,0,0,00000000,00000000,000,000,4,128,0,0,0,0,0,eof
2021-09-10 16:15:49.895,2021-09-10 16:16:32.152,42.257,0.078,6,192.168.51.22,58532,52.25.31.211,443,AP,AP,AP,AP,3c5cd17d,b296640e,000,000,6,384,8,448,0,0,0,eof
