flow_id,stime_ms,src_ip,dst_ip,protocol,src_port,dst_port,application,vlan,protocol_name
1079059129,1631290511732,192.168.51.205,1.1.1.1,17,33273,53,0,0,UDP
617882297,1631290511741,192.168.51.205,1.1.1.1,17,58748,53,0,0,UDP
94184121,1631290511749,192.168.51.205,1.1.1.1,17,50229,53,0,0,UDP
3684438066,1631290511728,192.168.51.138,192.168.51.205,17,56221,53,0,0,UDP
410987087,1631290501481,192.168.50.50,8.8.8.8,17,53470,53,0,0,UDP
3090950735,1631290501482,192.168.50.50,8.8.8.8,17,28829,53,0,0,UDP
794291248,1631290512119,192.168.51.138,239.255.255.250,2,0,0,0,0,IGMP
3589015484,1631290512539,192.168.51.205,192.112.36.4,17,54581,53,0,0,UDP
429925049,1631290512606,192.168.51.205,1.1.1.1,17,55304,53,0,0,UDP
2509777487,1631290512688,192.168.50.50,8.8.8.8,17,23865,53,0,0,UDP
13511247,1631290512688,192.168.50.50,8.8.8.8,17,51311,53,0,0,UDP
93594297,1631290512621,192.168.51.205,1.1.1.1,17,50236,53,0,0,UDP
966273615,1631290512714,192.168.50.50,8.8.8.8,17,61753,53,0,0,UDP
2543725135,1631290512715,192.168.50.50,8.8.8.8,17,24383,53,0,0,UDP
1903174329,1631290512715,192.168.51.205,1.1.1.1,17,45272,53,0,0,UDP
4100591666,1631290512602,192.168.51.138,192.168.51.205,17,62571,53,0,0,UDP
1083450041,1631290512918,192.168.51.205,1.1.1.1,17,33084,53,0,0,UDP
2123632816,1631290512916,192.168.51.8,192.168.51.205,17,32405,53,0,0,UDP
114043415,1631290513302,192.168.50.106,8.8.8.8,17,52845,53,0,0,UDP
1600137751,1631290513305,192.168.50.106,8.8.8.8,17,38849,53,0,0,UDP
3668192569,1631290513339,192.168.51.205,193.0.14.129,17,56077,53,0,0,UDP
3467255462,1631290505322,192.168.60.183,192.168.50.100,17,52907,53,0,0,UDP
1928012473,1631290513518,192.168.51.205,1.1.1.1,17,45891,53,0,0,UDP
57680569,1631290513530,192.168.51.205,1.1.1.1,17,49880,53,0,0,UDP
3430944817,1631290513550,192.168.51.137,192.168.51.205,17,52353,53,0,0,UDP
1656103609,1631290513544,192.168.51.205,1.1.1.1,17,41758,53,0,0,UDP
1490821817,1631290513558,192.168.51.205,1.1.1.1,17,39284,53,0,0,UDP
2029003449,1631290513573,192.168.51.205,1.1.1.1,17,47448,53,0,0,UDP
3340111922,1631290513514,192.168.51.138,192.168.51.205,17,50967,53,0,0,UDP
1155277497,1631290513882,192.168.51.205,1.1.1.1,17,34164,53,0,0,UDP
1592664761,1631290513956,192.168.51.205,1.1.1.1,17,40774,53,0,0,UDP
4177334322,1631290513879,192.168.51.138,192.168.51.205,17,63740,53,0,0,UDP
3303615857,1631290514140,192.168.51.205,199.9.14.201,17,49993,53,0,0,UDP
3897305679,1631290514250,192.168.50.50,8.8.8.8,17,8429,53,0,0,UDP
304228943,1631290514251,192.168.50.50,8.8.8.8,17,55939,53,0,0,UDP
1074078393,1631290514387,192.168.51.205,1.1.1.1,17,33197,53,0,0,UDP
2072257209,1631290514465,192.168.51.205,1.1.1.1,17,47660,53,0,0,UDP
3777957938,1631290514384,192.168.51.138,192.168.51.205,17,57646,53,0,0,UDP
3831446904,1631290514737,192.168.50.105,172.16.31.100,17,35046,53,0,0,UDP
3348970872,1631290514742,192.168.50.105,172.16.31.100,17,43812,53,0,0,UDP
3695851673,1631290514944,192.168.51.205,202.12.27.33,17,55023,53,0,0,UDP
2708869169,1631290515339,192.168.51.137,192.168.51.205,17,41335,53,0,0,UDP
3889762363,1631290515352,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,57625,10002,0,0,UDP
3052403385,1631290515357,192.168.50.20,255.255.255.255,17,35513,10002,0,0,UDP
3279622203,1631290515353,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,50619,10002,0,0,UDP
2875199547,1631290515354,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,44448,10002,0,0,UDP
3584167995,1631290515356,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,54114,10002,0,0,UDP
3106869307,1631290515357,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,49135,10002,0,0,UDP
3287683131,1631290515359,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,50486,10002,0,0,UDP
1832985273,1631290515461,192.168.51.205,1.1.1.1,17,44265,53,0,0,UDP
1713382073,1631290515501,192.168.51.205,1.1.1.1,17,42888,53,0,0,UDP
3605729330,1631290515457,192.168.51.138,192.168.51.205,17,55018,53,0,0,UDP
2635283772,1631290515726,192.168.50.45,172.16.31.100,17,61866,53,0,0,UDP
3781062802,1631290515744,192.168.51.205,199.7.83.42,17,59120,53,0,0,UDP
41495119,1631290515899,192.168.50.50,8.8.8.8,17,51928,53,0,0,UDP
1053895247,1631290515899,192.168.50.50,8.8.8.8,17,63088,53,0,0,UDP
148384335,1631290516521,192.168.50.50,8.8.8.8,17,49273,53,0,0,UDP
1567238735,1631290516521,192.168.50.50,8.8.8.8,17,38347,53,0,0,UDP
2312740237,1631290516541,192.168.51.205,198.97.190.53,17,36625,53,0,0,UDP
3599175729,1631290516758,192.168.51.137,192.168.51.205,17,54918,53,0,0,UDP
3656847409,1631290516841,192.168.51.137,192.168.51.205,17,55798,53,0,0,UDP
2923919541,1631290517343,192.168.51.205,199.7.91.13,17,43497,53,0,0,UDP
2863927345,1631290517434,192.168.51.137,192.168.51.205,17,43701,53,0,0,UDP
1004676322,1631290510102,192.168.60.159,8.8.8.8,17,62275,53,0,0,UDP
3814695846,1631290518144,192.168.51.205,192.58.128.30,17,58316,53,0,0,UDP
3869189705,1631290518948,192.168.51.205,192.5.5.241,17,58931,53,0,0,UDP
3414214066,1631290519745,192.168.51.205,192.203.230.10,17,52194,53,0,0,UDP
4019068582,1631290512038,192.168.60.183,192.168.50.100,17,61327,53,0,0,UDP
3096783439,1631290520389,192.168.50.50,8.8.8.8,17,28724,53,0,0,UDP
200616527,1631290520389,192.168.50.50,8.8.8.8,17,50004,53,0,0,UDP
2629772220,1631290520546,192.168.51.205,198.41.0.4,17,39487,53,0,0,UDP
3040815028,1631290521347,192.168.51.205,192.33.4.12,17,46519,53,0,0,UDP
2416424873,1631290522134,192.168.51.205,192.36.148.17,17,37002,53,0,0,UDP
737026745,1631290522130,192.168.51.205,1.1.1.1,17,59974,53,0,0,UDP
4222816306,1631290522127,192.168.51.138,192.168.51.205,17,64434,53,0,0,UDP
3945212495,1631290522667,192.168.50.50,8.8.8.8,17,9094,53,0,0,UDP
2023172687,1631290522668,192.168.50.50,8.8.8.8,17,45110,53,0,0,UDP
770976335,1631290522721,192.168.50.50,8.8.8.8,17,58709,53,0,0,UDP
2858756687,1631290522721,192.168.50.50,8.8.8.8,17,25284,53,0,0,UDP
3250390972,1631290522936,192.168.51.205,192.112.36.4,17,49508,53,0,0,UDP
381495831,1631290518309,192.168.50.106,8.8.8.8,17,56860,53,0,0,UDP
2968137073,1631290523739,192.168.51.205,199.9.14.201,17,46922,53,0,0,UDP
3852348729,1631290524540,192.168.51.205,193.0.14.129,17,58423,53,0,0,UDP
426781263,1631290525264,192.168.50.50,8.8.8.8,17,53713,53,0,0,UDP
561719887,1631290525264,192.168.50.50,8.8.8.8,17,59866,53,0,0,UDP
3120707737,1631290525337,192.168.51.205,202.12.27.33,17,45223,53,0,0,UDP
4115209894,1631290517479,192.168.60.183,192.168.50.100,17,62792,53,0,0,UDP
3851755174,1631290517700,192.168.60.183,192.168.50.100,17,58772,53,0,0,UDP
774122063,1631290525911,192.168.50.50,8.8.8.8,17,59013,53,0,0,UDP
3453823567,1631290525911,192.168.50.50,8.8.8.8,17,1404,53,0,0,UDP
2933682322,1631290526140,192.168.51.205,199.7.83.42,17,43378,53,0,0,UDP
250161743,1631290526530,192.168.50.50,8.8.8.8,17,50760,53,0,0,UDP
1995385423,1631290526530,192.168.50.50,8.8.8.8,17,48718,53,0,0,UDP
3220544909,1631290526945,192.168.51.205,198.97.190.53,17,47421,53,0,0,UDP
1934238895,1631290517112,192.168.60.210,8.8.8.8,17,48107,53,0,0,UDP
2849384020,1631290510315,fe80::a48d:21d0:e737:1693,ff02::000c,17,59104,3702,0,0,UDP
3962599605,1631290527747,192.168.51.205,199.7.91.13,17,60318,53,0,0,UDP
3381252793,1631290510314,192.168.51.117,239.255.255.250,17,59103,3702,0,0,UDP
1281829399,1631290523317,192.168.50.106,8.8.8.8,17,33990,53,0,0,UDP
